 [4641/4641 1:58:21, Epoch 2/3]
Step	Training Loss
2950	0.688100
2955	0.656200
2960	0.741800
2965	0.774200
2970	0.755400
2975	0.856600
2980	0.807800
2985	0.815600
2990	0.704700
2995	0.707100
3000	0.640700
3005	0.620400
3010	0.684100
3015	0.746200
3020	0.803200
3025	0.830900
3030	0.856400
3035	0.718900
3040	0.825600
3045	0.802000
3050	0.596900
3055	0.659000
3060	0.712500
3065	0.686000
3070	0.783300
3075	0.888400
3080	0.849700
3085	0.752300
3090	0.838800
3095	0.643800
3100	0.687100
3105	0.651100
3110	0.743200
3115	0.711700
3120	0.819700
3125	0.811700
3130	0.759300
3135	0.691500
3140	0.763600
3145	0.678100
3150	0.690600
3155	0.688900
3160	0.767800
3165	0.660600
3170	0.828500
3175	0.865400
3180	0.811100
3185	0.725200
3190	0.750100
3195	0.661000
3200	0.681100
3205	0.672700
3210	0.694500
3215	0.694500
3220	0.785400
3225	0.839900
3230	0.749900
3235	0.772300
3240	0.742500
3245	0.636400
3250	0.652400
3255	0.689700
3260	0.693600
3265	0.690000
3270	0.880800
3275	0.836400
3280	0.769100
3285	0.745000
3290	0.760100
3295	0.657900
3300	0.687400
3305	0.635000
3310	0.717500
3315	0.739200
3320	0.834600
3325	0.799100
3330	0.799100
3335	0.740700
3340	0.696000
3345	0.675200
3350	0.689100
3355	0.671200
3360	0.723100
3365	0.715400
3370	0.805300
3375	0.811600
3380	0.752500
3385	0.684500
3390	0.701500
3395	0.670000
3400	0.661000
3405	0.656700
3410	0.729100
3415	0.720500
3420	0.795600
3425	0.794200
3430	0.809200
3435	0.788200
3440	0.745700
3445	0.640200
3450	0.662700
3455	0.664000
3460	0.783100
3465	0.714300
3470	0.774300
3475	0.816400
3480	0.794900
3485	0.740800
3490	0.778200
3495	0.646800
3500	0.682200
3505	0.638100
3510	0.753900
3515	0.681300
3520	0.741800
3525	0.795800
3530	0.746600
3535	0.721200
3540	0.779700
3545	0.637000
3550	0.666400
3555	0.673800
3560	0.810600
3565	0.627200
3570	0.874400
3575	0.827500
3580	0.815400
3585	0.762000
3590	0.765500
3595	0.633300
3600	0.653700
3605	0.721700
3610	0.727700
3615	0.749900
3620	0.814700
3625	0.810000
3630	0.792400
3635	0.667400
3640	0.727200
3645	0.642100
3650	0.658700
3655	0.712800
3660	0.615400
